Code,Fluggesellschaft
JN,XL Airways UK
JO,JALways
JP,Adria Airways
JP,Inex-Adria Aviopromet
JQ,Air Jamaica Express
JQ,Jetstar Airways
JQ,Alba Star
JR,Aero California
JR,Joy Air
JS,Air Koryo
JT,Lion Air
JT,Transair
JU,Air Serbia
JU,JAT Airways
JU,Jugoslovenski Aerotransport
JV,Bearskin Airlines
JW,Arrow Air
JW,Skippers Aviation
JW,Vanilla Air
JX,DAC Aviation
JX,Nice Helicopters
JY,Inter Caribbean Airways
JZ,Skyways
K1,Topas
K2,EuroLOT
K3,SAC
K3,Taquan Air
K4,Kalitta Air
K5,SeaPort Airlines
K5,Wings of Alaska
K6,Cambodia Angkor Air
K6,Khalifa Airways
K7,Air KBZ
K7,Sakha Avia
K8,InterJet West
K8,Kan Air
K8,Zambia Skyways
K9,Kalitta Charters
K9,Krylo Aviakompania
K9,Skyward Aviation
KA,Cathay Dragon
KB,Drukair
KC,Air Astana
KC,Conair of Scandinavia
KD,Kal Star Aviation
KD,KD Avia
KD,Kendell Airlines
KD,Regional Express Airlines
KD,Western Global Airlines
KE,Korean Air
KF,Air Belgium (2016)
KF,Air Botnia
KF,Blue1
KG,Caledonian Airways
KG,Key Lime Air
KG,Línea Aérea IAACA (LAI)
KG,Orion Airways
KH,Aloha Air Cargo
KI,Adam Air
KI,Contact Air
KI,KrasAvia
KJ,Air Incheon
KJ,British Mediterranean Airways
KJ,Sultan Air
KK,AtlasGlobal
KL,KLM – Royal Dutch Airlines
KM,Air Malta
KN,China United Airlines
KN,Maroomba Airlines
KN,Moris Air
KO,Alaska Central Express
KO,Khors Air Company
KO,Komiaviatrans
KP,Asky Airlines
KQ,Kenya Airways
KR,Air Bishkek
KR,Karair
KR,Kitty Hawk Air Cargo
KS,Penair
KT,Kampuchea Airlines
KU,Kuwait Airways
KV,Kavminvodyavia (KMV)
KW,Kelowna Flightcraft
KW,KAS Air Company
KX,Cayman Airways
KY,Air São Tomé and Príncipe
KY,Kunming Airlines
KZ,Nippon Cargo Airlines
L1,Airlliance
L1,Lufthansa Systems
L2,Lynden Air Cargo
L3,DHL de Guatemala
L4,Lauda Air Italia
L5,Atlantique Air Assistance
L5,CHC Helicopter Service
L6,Mauritania Airlines International
L7,LAN Cargo Colombia
L7,Laoag International Airlines
L8,Afric Aviation
L9,Compagnie Aérienne du Mali
L9,Air Mali (2009)
L9,Bristow US
L9,Belle Air Europe
LA,LAN Airlines
LA,Lan Chile
LB,Air Costa
LB,Lloyd Aéreo Boliviano
LC,Varig Log
LC,Equatorial Congo Airlines
LD,Air Hong Kong
LD,Línea Turística Aereotuy
LE,Helgoland Airlines
LF,Corporate Flight Management
LF,Linair
LF,Linjeflyg
LG,Luxair
LH,Lufthansa
LH,Lufthansa Cargo
LH,Lufthansa Italia
LI,LIAT
LI,ETF Airways
LJ,Jin Air
LJ,Sierra National Airlines
LK,Air Luxor
LL,Líneas Aéreas Allegro
LL,Miami Air International
LM,Air ALM
LM,Livingston Energy Flight
LM,Loganair
LN,Libyan Airlines
LN,Libyan Arab Airlines
LO,LOT Polish Airlines / Polskie Linie Lotnicze
LP,LAN Perú
LR,Avianca Costa Rica
LR,Lacsa
LS,Channel Express
LS,Iliamna Air Taxi
LS,Jet2.com
LT,Air Lituanica
LT,LTU
LU,LAN Express
LV,Albanian Airlines
LV,Latavio
LV,Mega Maldives Airlines
LW,Pacific Wings
LX,Crossair
LX,Swiss International Air Lines
LY,El Al
LZ,Balkan Bulgarian Airlines
LZ,Belle Air
LZ,Swiss Global Air Lines
M0,Aero Mongolia
M2,Mahfooz Aviation
M2,MHS Aviation
M2,Millon Express
M3,North Flying
M3,TAM Cargo
M4,Avioimpex
M4,Mistral Air
M4,Poste Air Cargo
M5,Kenmore Air
M6,Amerijet International
M7,MAS Air Cargo
M7,Superior Aviation Services
M8,Med Airlines
M8,Moscow Airways
M8,Skyjet Airlines
M8,Trans Maldivian Airways
M9,ModiLuft
M9,Motor Sich Airlines
MA,Malév
MB,Execaire
MB,MNG Airlines
MC,Air Mobility Command
MD,Madagascar Airlines
ME,Middle East Airlines (MEA)
MF,Xiamen Airlines
MG,Champion Air
MG,Miami Air Lease
MH,Malaysia Airlines
MI,Silk Air
MJ,LAPA
MJ,Mihin Lanka
MJ,MyWay Airlines
MK,Air Mauritius
ML,Air Méditerranée
ML,Midway Airlines
ML,Olympic Aviation
MM,EuroAtlantic Airways
MM,Peach Aviation
MM,SAM Colombia
MN,Kulula
MO,Calm Air
MO,Abu Dhabi Amiri Flight
MP,Martinair Holland
MQ,Envoy Air
MQ,American Eagle Airlines
MQ,Simmons Airlines
MR,Air Mauritanie
MR,Hunnu Air
MS,Egypt Air
MT,Flying Colours Airlines
MT,JMC Airlines
MT,Thomas Cook Airlines UK
MU,China Eastern Airlines
MV,Manas Air
MW,Maya Island Air
MW,Mokulele Airlines
MX,Mexicana
MY,Air Mali (1960)
MY,MAS Air Cargo
MY,Maya Island Air
MY,Midwest Airlines
MZ,Amakusa Airlines
MZ,Merpati Nusantara Airlines
N0,Norse Atlantic Airways
N2,Aerolíneas Internacionales
N2,Trans Mediterranean Airways
N3,Aerolíneas Mas
N3,Anic Airways
N4,Nordwind Airlines
N5,Nolinor Aviation
N6,Aero Continente
N6,Nomad Aviation
N6,Nuevo Continente
N7,National Airlines
N7,My Jet Xpress Airlines
N7,Nordic East Airways
N7,Nordic Regional Airlines
N8,National Airlines (2007)
N8,Norwegian Air Shuttle
N9,Air Åland
N9,Kabo Air
N9,Novair
,National Airlines
,North American Airlines
NB,Skypower Express Airways
NB,Sterling Airlines
NC,Cobham
NC,National Jet Systems
NC,North Central Airlines
NC,Northern Air Cargo
ND,Airlink
ND,FMI Air
ND,Nordair
ND,Sky Wings
NE,Nesma Airlines
NE,Northeast Airlines
NF,Air Vanuatu
NG,Aero Contractors
NG,Lauda Air
NH,All Nippon Airways
NI,Portugália Airlines
NJ,Vanguard Airlines
NK,Spirit Airlines
NL,Shaheen Air International
NM,Air Madrid
NN,VIM Airlines
NO,Neos
NO,Niger Air Cargo
NP,Heavylift Cargo Airlines
NP,Nile Air
NP,Skytrans Airlines
NQ,Air Japan
NR,Pamir Airways
NS,Eurowings
NS,Hebei Airlines
NS,Northeast Airlines
NS,Northeast Airlines
NS,Nürnberger Flugdienst
NT,Binter Canarias
NU,Aero Contractors
NU,Japan Transocean Air
NV,Air Central
NV,Northern Executive Aviation
NW,Northwest Airlines / Northwest Orient Airlines
NX,Air Macau
NY,Air Iceland
NY,New York Air
NZ,Air New Zealand
O2,OLT Express Regional
O3,Orange Air
O3,SF Airlines
O4,Antrak Air
O6,Avianca Brazil
O6,OceanAir
O7,Orenburzhye
O8,Oasis Hong Kong Airlines
O8,Siam Air Transport
O9,Nova Airways
OA,Olympic Air
OA,Olympic Airlines
OA,Olympic Airways
OB,Boliviana de Aviación
OC,Air California (Air Cal)
OC,Omni Aviation
OC,Oriental Air Bridge
OD,Malindo Air
OE,Laudamotion
OF,Air Finland
OH,Comair
OH,PSA Airlines
OI,Aspiring Air
OI,Hinterland Aviation
OJ,Fly Jamaica Airways
OK,CSA Czech Airlines
OL,Polynesian Airlines
OL,Samoa Airways
OM,MIAT Mongolian Airlines
ON,Air Nauru
ON,Nauru Airlines
ON,Our Airline
OO,SkyWest Airlines
OP,Air Panama Internacional
OP,Air Pegasus
OP,Chalk's Ocean Airways
OQ,Chongqing Airlines
OQ,Sunrise Airlines
OR,TUI Airlines Nederland
OS,Austrian Airlines
OT,Aeropelican Air Services
OU,Croatia Airlines
OV,Aéromaritime International
OV,Estonian Air
OW,Executive Airlines
OX,Orient Thai Airlines
OY,Andes Líneas Aéreas
OY,Omni Air International
OZ,Asiana Airlines
P0,Proflight Zambia
P1,Aviation Technologies
P2,AirKenya Express
P2,Tyumenaviatrans Aviation
P2,UTair
P3,CargoLogicAir
P3,Premier Trans Aire
P4,Aerolíneas Sosa
P5,AeroRepública
P5,Copa Airlines Colombia
P6,Pascan Aviation
P6,Privilege Style
P6,Transair
P7,East Line Airlines
P7,Russian Sky Airlines
P7,Small Planet Airlines (Italien)
P7,Small Planet Airlines (Polen)
P8,Air Mekong
P9,Asia Pacific Airlines
P9,Peruvian Airlines
P9,Pro Air
PA,Airblue
PA,Pan American World Airways (Pan Am)
PB,Panair do Brasil
PB,Provincial Airlines
PC,Air Fiji
PC,Continental Airways
PC,Envirotainer
PC,Pacific Air Lines
PC,Pegasus Airlines
PD,Porter Airlines
PE,Pacific Air Express
PE,People Express
PE,People’s
PF,Palestinian Airlines
PF,Primera Air Scandinavia
PG,Bangkok Airways
PH,Phoenix Air
PH,Polynesian Airlines
PI,Pacific Sun
PI,Piedmont Airlines (1948)
PI,Sunflower Airlines
PJ,Air St. Pierre
PK,Pakistan International Airlines
PL,Aeroperú
PL,Southern Air Charter
PM,Canary Fly
PM,Prescott Support
PM,Tropic Air
PN,China West Air
PO,Polar Air Cargo
PP,Jet Aviation Business Jets
PQ,AirAsia Philippines
PQ,SkyUp Airlines
PR,Philippine Airlines
PS,Pacific Southwest Airlines (PSA)
PS,Ukraine International Airlines
PT,Piedmont Airlines (1993)
PT,West Atlantic Sweden
PU,PLUNA
PU,Plus Ultra Líneas Aéreas
PV,Eastern Provincial Airways
PV,PrivatAir
PV,Saint Barth Commuter
PW,German Wings
PW,Pacific Western Airlines (PWA)
PW,Precision Air
PX,Air Niugini
PY,Surinam Airways
PZ,TAM Airlines
Q1 ,Sqiva Sistem
Q2,Maldivian
Q3,Zambian Airways
Q5,40-Mile Air
Q6,Aero Cóndor Perú
Q7,SkyBahamas Airlines
Q7,Sobelair
Q8,Trans Air Congo
Q9,Minerva Airlines
QA,Aerocaribe
QA,Cimber
QA,Click Mexicana
QA,MexicanaClick
QB,Air Alma
QB,Qeshm Air
QB,Quebecair
QC,Air Congo
QC,Air Zaire
QC,Aviation Quebec Labrador
QC,Camair-Co
QD,Transbrasil
QE,Crossair Europe
QF,JetConnect
QF,Qantas Airways
QG,Citilink
QG,Delta Air Transport
QG,Dynamic Airlines
QH,Air Florida
QH,Air Kyrgyzstan
QH,Pel-Air
QH,Bamboo Airways
QI,Cimber Air
QI,Cimber Sterling
QJ,Jetways Airways
QJ,Latpass Airlines
QJ,Paramount Airways
QK,Aéromaritime
QK,Jazz Aviation
QL,LASER Airlines
QL,Lesotho Airways
QM,Air Malawi
QM,Monacair
QN,Air Armenia
QN,Royal Aviation
QO,Aeromexpress
QO,Origin Pacific Airways
QO,Quikjet Cargo Airlines
QP,Airkenya
QP,Regional Air
QP,Starlight Airlines
QQ,Alliance Airlines
QQ,Reno Air
QR,Qatar Airways
QS,Smart Wings
QS,Travel Service
QT,Avianca Cargo
QT,Regional Air
QT,Tampa Cargo
QU,Skyline Express Airlines
QU,Azur Air Ukraine
QU,Uganda Airlines
QU,UTair Ukraine
QV,Lao Airlines
QV,Lao Aviation
QW,Qingdao Airlines
QW,Saarland Airlines
QW,Turks And Caicos Airways
QX,Horizon Air
QY,European Air Transport
QZ,Indonesia AirAsia
R1,Zapways
R2,Orenburg Airlines
R3,Yakutia Airlines
R4,Rossija
R4,RUS Aviation
R5,Jordan Aviation
R5,Malta Air Charter
R6,DOT LT
R6,Air Srpska
R7,Aserca Airlines
R7,CHEP Aerospace Solutions
R9,TAF Linhas Aéreas
R9,Village Aviation
RA,Nepal Airlines
RB,Syrian Arab Airlines
RC,Atlantic Airways
RC,Republic Airlines
RD,REDjet
RD,Ryan International Airlines
RE,Aer Arann
RF,Florida West International
RG,Rotana Jet
RG,VARIG
RH,Air Rhodesia
RH,Regionnair
RH,Robin Hood Aviation
RI,Mandala Airlines
RJ,Royal Jordanian (Alia)
RK,Air Afrique
RK,R Airlines
RL,Airworld
RL,Royal Flight Airlines
RL,Royal Phnom Penh Airways
RM,Air Moldova International
RN,Euralair
RN,Rayani Air
RO,TAROM
RP,Chautauqua Airlines
RQ,Swisswings
RQ,Kam Air
RR,Ryanair Sun S.A.
RR,Royal Air Force
RS,Oman Royal Flight
RT,Airlines of South Australia
RT,Rainbow Airlines
RU,AirBridgeCargo
RV,Air Canada Rouge
RV,Reeve Aleutian Airways
RW,Air West
RW,Hughes Airwest
RW,Rheinland Air Service
RX,Regent Airways
RY,European Executive Express
RY,Jiangxi Air
RY,Royal Air Lao
RY,Royal Wings
RZ,Sansa Airlines
S1,Lufthansa Systems
S2,Air Sahara
S2,JetKonnect
S2,JetLite
S3,Santa Barbara Airlines
S4,SATA International
S5,Shuttle America
S5,Small Planet Airlines (Litauen)
S6,Sunrise Airways
S7,S7 Airlines
S7,Siberia Airlines
S8,Elk Airways
S8,Sky Capital Airlines
S8,Sounds Air
S9,Silk Road Cargo Business
S9,Starbow
S9,Transjet Airways
SA,South African Airways
SB,Aircalin
SC,Cruzeiro do Sul
SC,Shandong Airlines
SD,Sudan Airways
SE,Samoa Aviation
SE,XL Airways France
SF,Air Charter
SF,Tassili Airlines
SG,SpiceJet
SG,Jetsgo
SH,Aeris
SH,Sharp Airlines
SI,Blue Islands
SI,Sierra Pacific Airlines
SJ,Sriwijaya Air
SK,SAS Scandinavian Airlines
SL,Air Sylhet
SL,Rio Sul
SL,Thai Lion Air
SM,Air Cairo
SM,Spirit of Manila Airlines
SM,Sunworld International Airlines
SM,Swedline
SN,Brussels Airlines
SN,Sabena
SN,SN Brussels Airlines
SO,APEX Airlines
SO,Superior Aviation
SO,Swiss World Airways
SO,Syphax Airlines
SP,SATA Air Açores
SQ,Singapore Airlines
SQ,Singapore Airlines Cargo
SR,Sundair
SR,Swissair
SS,Corsair International
SS,Corsairfly
SS,Silver City Airways
ST,Germania
ST,Yanda Airlines
SU,Aeroflot
SV,Saudi Arabian Airlines (Saudia)
SW,Air Namibia
SX,Skybus Airlines
SX,SkyWork Airlines
SY,Skippers Aviation
SY,Sun Country Airlines
SZ,China Southwest Airlines
SZ,Somon Air
T0,Avianca Perú
T0,TACA Perú
T1,Tik Systems
T3,Eastern Airways
T4,Hellas Jet
T4,Rhoades Aviation
T4,Transeast Airlines
T4,TRIP Linhas Aéreas
T5,Turkmenistan Airlines
T6,AirSWIFT
T6,Island Transvoyager
T6,Tavrey Airlines
T7,Transcarga International Airways
T7,Twin Jet
T8,MCS Aerocarga
T9,Aviator Aviation
T9,Transmeridian Airlines
T9,Varmlandsflyg (V-Air)
TA,Avianca El Salvador
TA,TACA
TB,Jetairfly
TB,Trump Shuttle
TC,Air Tanzania
TE,Lithuanian Airlines
TE,SkyTaxi
TF,Malmö Aviation
TG,Thai Airways International
TH,British Regional Airlines
TH,Raya Airways
TH,Transmile Air Services
TI,Baltic International
TI,Tailwind Airlines
TI,Texas International Airlines
TI,Tol Air Services
TJ,TANS Perú
TJ,Tradewind Aviation
TK,Turkish Airlines
TL,Airnorth
TL,Chartair
TM,Linhas Aéreas de Moçambique
TN,Air Tahiti Nui
TN,Trans Australian Airlines
TO,President Airlines
TO,Transavia France
TP,TAP Portugal
TQ,Tandem Aero
TQ,Transwede
TR,Scoot
TR,Tiger Airways
TR,Transbrasil
TR,Transeuropa Compañía de Aviación
TS,Air Transat
TT,Transbrasil
TT,Air Lithuania
TT,Tiger Airways Australia
TU,Tunisair
TV,Tibet Airlines
TV,Transamerica Airlines
TV,Virgin Express
TV,T’way Air
TW,Trans World Airlines (TWA)
TW,T’way Air
TX,Air Caraïbes
TY,Air Calédonie
TY,Iberworld
TZ,Air-taxi europe
TZ,American Trans Air
TZ,ATA Airlines
TZ,Scoot
U1,Videcom International
U2,EasyJet Airline
U3,Sky Gates Airlines
U4,Buddha Air
U5,SkyUp MT
U5,International Business Airlines (IBA)
U5,Karinou Airlines
U5,USA 3000 Airlines
U6,Ural Airlines
U7,Air Uganda
U7,USA Jet Airlines
U8,Armavia
U8,Austrian Airtransport
U8,TUS Airways
U9,Tatarstan Air
UA,United Airlines
UB,Myanma Airways
UB,Myanmar National Airlines
UC,Fast Air Carrier
UC,Ladeco
UC,LAN Cargo
UD,Hex’Air
UE,Ultimate Air Shuttle
UF,UM Air
UG,Sevenair
UG,Tuninter
UG,Tunisair Express
UH,AtlasGlobal Ukraine
UI,Alaska Seaplane Service
UI,Auric Air Services
UI,Eurocypria
UJ,AlMasria Universal Airlines
UJ,USA Jet Airlines
UK,AirUK
UK,Buzz
UK,KLM UK
UK,Vistara
UL,Air Lanka
UL,SriLankan Airlines
UM,Air Zimbabwe
UN,Transaero Airlines
UP,Bahamasair
UO,Hong Kong Express Airways
UQ,O’Connor Airlines
UQ,Urumqi Air
UR,Ukraine International Airlines
US,US Airways
UT,Union de Transports Aériens (UTA)
UT,UTair
UU,Air Austral
UV,Helicópteros del Sureste
UV,Universal Airways
UX,Air Europa
UY,Cameroon Airlines
UZ,Tesis Aviation Enterprise
V0,Conviasa
V1,IBS Software Services
V2,Avialeasing Aviation
V2,Virgin Sun Airlines
V3,Carpatair
V4,South Airlines
V4,Venescar Internacional
V4,Venus Airlines
V5,Aerovías DAP
V5,DanubeWings
V6,Vuelos Internos Privados
V6,VI Airlink
V7,Air Sénégal International
V7,Volotea
V8,ATRAN
V8,Iliamna Air Taxi
V8,Transportes Aéreos Petroleros (TAPSA)
V9,Bashkirian Airlines
V9,Van Air Europe
VA,VIASA
VA,Virgin Australia
VA,Virgin Australia Regional Airlines
VA,Virgin Blue
VB,Maersk Air
VB,Viva Aerobus
VC,Servivensa
VC,Via Airlines
VD,Air Liberté
VE,AVENSA
VF,AJet
VF,British World Airlines
VF,Nevis Express
VF,Valuair
VG,Air Siam
VG,VLM Airlines
VH,Aeropostal
VI,Vieques Air Link
VI,Volga-Dnepr Airlines
VJ,Royal Air Cambodge
VJ,VietJet Air
VK,Air Tungaru
VK,Air Vallée
VK,Level Europe
VL,Air Via
VL,Eagle Air of Iceland
VL,Lufthansa City Airlines
VL,Med-View Airline
VL,North Vancouver Airlines
VM,Max Air
VM,Regional Airlines
VN,Vietnam Airlines
VO,Tyrolean Airways
VP,Indochina Airlines
VP,Viação Aérea São Paulo (VASP)
VP,Villa Air
VQ,Impulse Airlines
VQ,Novoair
VR,TACV Cabo Verde Airlines
VS,Virgin Atlantic
VT,Air Tahiti
VU,Air Ivoire
VU,Veca Airlines
VV,Aerosvit Airlines
VW,Aeromar
VX,Virgin America
VY,Vueling Airlines
VZ,Aero VIP
VZ,Airtours International
VZ,MyTravel Airways
VZ,Thai Vietjet Air
W1,World Ticket
W2,FlexFlight ApS
W3,Arik Air
W4,Aero Services Executive
W4,LC Perú
W4,M&N Aviation
W4,Wizz Air Malta
W5,Mahan Air
W6,Wizz Air
W7,Sayakhat
W7,Wings of Lebanon
W8,Cargojet Airways
W9,Air Bagan
WA,KLM Cityhopper
WA,Western Airlines
WB,RwandAir
WC,Isleña Airlines
WD,DAS Air Cargo
WD,Wardair Canada
WE,Centurion Air Cargo
WE,Challenge Air Cargo
WE,Thai Smile Airways
WF,Widerøe’s Flyveselskap
WG,Sunwing Airlines
WG,Wasaya Airways
WH,China Northwest Airlines
WH,WebJet Linhas Aéreas
WH,Westair Bénin
WI,Sky Lease Cargo
WI,Tradewinds Airlines
WI,White Airways
WJ,Air Labrador
WK,Active Air
WK,American Falcon
WK,Edelweiss Air
WK,Greenair
WL,Aeroperlas
WL,Lao Air Lines
WM,Winair
WN,Southwest Airlines
WO,World Airways
WP,Island Air
WQ,Romavia
WQ,Swift Air
WR,Aviaprad
WR,Royal Tongan Airlines
WR,WestJet Encore
WS,Westjet Airlines
WT,Swiftair
WU,Wizz Air Ukraine
WU,Wuhan Airlines
WV,Aero VIP
WW,bmibaby
WW,Maui Airlines
WW,WOW air
WX,CityJet
WY,Oman Air
WZ,Acvila Air
WZ,JeTran Air
WZ,Red Wings Airlines
X3,Hapag-Lloyd Express
X3,TUIfly
X4,Air Excursion
X4,XL Airways Germany
X5,Afrique Airlines
X5,Cronus Airlines
X7,Air Service Gabon
X7,Chitaavia
X7,Exec Air
X7,Zambia Skyways
X7,Airmax Cargo
X7,Challenge Airlines
X8,Icaro Air
X8,Avion Express Malta
X9,Avion Express
X9,Khors Air Company
X9,Omni Air International
X9,Avion Express
XA,ARINC
XB,IATA
XC,Corendon Airlines
XC,KD Air
XD,Airlines for America
XF,Vladivostok Avia
XG,Clickair
XG,Sunexpress Deutschland
XH,Global Supply Systems
XH,Special Ground Handling Service
XI,Aeronautical Telecommunications (AEROTEL)
XJ,Mesaba Airlines
XJ,Thai AirAsia X
XK,CCM Airlines
XK,Air Corsica
XL,Country Connection Airlines
XL,LAN Ecuador
XL,Pro Air
XM,Alitalia Express
XM,Australian Air Express
XM,J-Air
XM,Zimex Aviation
XN,Axon Airlines
XO,China Xinjiang Airlines
XO,LTE International Airways
XO,South East Asian Airlines International
XQ,Sunexpress
XR,Virgin Australia Regional Airlines
XR,Skywest Airlines
XR,Corendon Airlines Europe
XS,SITA
XT,Indonesia AirAsia X
XU,African Express Airways
XV,Mississippi Valley Airlines
XW,NokScoot
XW,SkyExpress
XY,Flynas
XY,Kayala Airline
XZ,South African Express Airways
Y1,Travel Technology Interactive
Y2,Air Century
Y2,Alliance Air
Y2,Alliance Express
Y2,Flyglobespan
Y4,Volaris
Y5,Golden Myanmar Airlines
Y6,AB Aviation
Y6,Batavia Air
Y6,Europe Elite
Y7,Med Airways
Y7,NordStar
Y7,Silverjet
Y8,Passaredo Linhas Aéreas
Y8,Suparna Airlines
Y9,Kish Air
YA,Yeti Airlines
YB,Borajet
YB,South African Express Airways
YC,Flight West Airlines
YC,Yamal Airlines
YD,Synergy Aviation
YE,Yanair
YF,Department of National Defence
YG,South Airlines
YG,YTO Express Airlines
YH,Sunsplash Aviation
YH,Yangon Airways
YI,Air Sunshine
YI,Yunnan Ying'An Airlines
YJ,AMC Aviation
YJ,Asian Wings Airways
YJ,National Airways Corporation
YK,Kıbrıs Türk Hava Yolları (KTHY)
YK,Avia Traffic Company
YL,Libyan Wings
YL,Yamal Airlines
YM,Montenegro Airlines
YN,Air Creebec
YO,Heli Air Monaco
YP,Perimeter Aviation
YQ,Helikopterservice Euro Air
YQ,Polet Airlines
YR,Scenic Airlines
YS,HOP!-Régional
YS,Régional
YT,Air Togo
YU,EuroAtlantic Airways
YV,go!
YV,Mesa Airlines
YW,Air Nostrum
YX,Midwest Airlines / Midwest Express Airlines
YX,Republic Airline
YZ,Air Bissau
YX,Alas Uruguay
Z2,AirAsia Zest
Z2,Zhongyuan Airlines
Z3,Avient Aviation
Z3,PM Air
Z3,Pro Mech Air
Z4,Zagrosjet
Z4,Zoom Airlines
Z5,Global Africa Aviation
Z5,GMG Airlines
Z6,Dniproavia
Z8,Amas Bolivia
Z8,Pulkovo Aviation Enterprise
Z9,Bek Air
ZA,Astair Airlines
ZA,Interavia Airlines
ZA,Sky Angkor Airlines
ZB,Air Bourbon
ZB,Monarch Airlines
ZB,Air Albania
ZC,Royal Swazi National Airways
ZD,EWA Air
ZE,Eastar Jet
ZF,Athens Airways
ZF,Azur Air
ZF,Safari Express Cargo
ZG,Groznyy Avia
ZH,Shenzhen Airlines
ZI,Aigle Azur (1970)
ZJ,Air Routing International
ZK,Great Lakes Airlines
ZK,ZetAvia
ZL,Affretair
ZL,Hazelton Airlines
ZL,Regional Express (Fluggesellschaft)
ZM,Air Manas
ZM,Scibe Airlift
ZN,Eagle Airlines
ZN,Naysa
ZO,Great Plains Airlines
ZO,Ozark Air Lines
ZP,Air St. Thomas
ZP,Amaszonas del Paraguay
ZP,Silk Way Airlines
ZQ,Azman Air
ZQ,JetConnect
ZR,Aviacon Zitotrans
ZR,Muk Air
ZT,Air Zambezi
ZT,Titan Airways
ZU,Helios Airways
ZV,Air Midwest
ZV,V Air
ZW,Air Wisconsin
ZX,Air Georgian
ZY,Sky Airlines
